GEOID,winner_name,winner_party,winner_votes,winner_margin,second_name,second_party,second_votes,second_margin,dem_margin
53001,Jay Inslee,democratic,1533,0.3272843723313407,Bill Bryant,republican,3151,0.6727156276686592,-0.3454312553373185
53003,Jay Inslee,democratic,4149,0.4251895880303341,Bill Bryant,republican,5609,0.5748104119696659,-0.1496208239393318
53005,Jay Inslee,democratic,31122,0.3803715472989489,Bill Bryant,republican,50698,0.619628452701051,-0.23925690540210215
53007,Jay Inslee,democratic,13657,0.4135727696687057,Bill Bryant,republican,19365,0.5864272303312943,-0.17285446066258858
53009,Jay Inslee,democratic,19354,0.490446505498961,Bill Bryant,republican,20108,0.5095534945010389,-0.019106989002077912
53011,Jay Inslee,democratic,96032,0.4805949384192694,Bill Bryant,republican,103787,0.5194050615807305,-0.038810123161461096
53013,Jay Inslee,democratic,688,0.31574116567232674,Bill Bryant,republican,1491,0.6842588343276732,-0.36851766865534646
53015,Jay Inslee,democratic,19217,0.42707291597217595,Bill Bryant,republican,25780,0.5729270840278241,-0.14585416805564816
53017,Jay Inslee,democratic,5441,0.3479345184806241,Bill Bryant,republican,10197,0.6520654815193759,-0.3041309630387518
53019,Jay Inslee,democratic,1360,0.37652270210409744,Bill Bryant,republican,2252,0.6234772978959026,-0.24695459579180512
53021,Jay Inslee,democratic,9636,0.4049590250052532,Bill Bryant,republican,14159,0.5950409749947468,-0.19008194998949363
53023,Jay Inslee,democratic,362,0.3019182652210175,Bill Bryant,republican,837,0.6980817347789825,-0.396163469557965
53025,Jay Inslee,democratic,9242,0.3226617323604371,Bill Bryant,republican,19401,0.6773382676395628,-0.35467653527912574
53027,Jay Inslee,democratic,14034,0.4860428066772875,Bill Bryant,republican,14840,0.5139571933227125,-0.027914386645425004
53029,Jay Inslee,democratic,21797,0.5027331226791522,Bill Bryant,republican,21560,0.49726687732084784,0.005466245358304311
53031,Jay Inslee,democratic,13399,0.6552719092331768,Bill Bryant,republican,7049,0.34472809076682315,0.31054381846635365
53033,Jay Inslee,democratic,677943,0.6784959742189884,Bill Bryant,republican,321242,0.3215040257810115,0.35699194843797694
53035,Jay Inslee,democratic,66360,0.5263032667919769,Bill Bryant,republican,59727,0.473696733208023,0.052606533583953896
53037,Jay Inslee,democratic,7984,0.4175077132249124,Bill Bryant,republican,11139,0.5824922867750876,-0.16498457355017515
53039,Jay Inslee,democratic,4517,0.4191333395193468,Bill Bryant,republican,6260,0.5808666604806533,-0.1617333209613065
53041,Jay Inslee,democratic,11088,0.322728992636144,Bill Bryant,republican,23269,0.677271007363856,-0.354542014727712
53043,Jay Inslee,democratic,1616,0.27977839335180055,Bill Bryant,republican,4160,0.7202216066481995,-0.4404432132963989
53045,Jay Inslee,democratic,13126,0.4607068898950546,Bill Bryant,republican,15365,0.5392931101049454,-0.07858622020989081
53047,Jay Inslee,democratic,7400,0.4329257590826654,Bill Bryant,republican,9693,0.5670742409173346,-0.1341484818346692
53049,Jay Inslee,democratic,5313,0.49464668094218417,Bill Bryant,republican,5428,0.5053533190578159,-0.010706638115631717
53051,Jay Inslee,democratic,2520,0.3660662405578152,Bill Bryant,republican,4364,0.6339337594421848,-0.26786751888436955
53053,Jay Inslee,democratic,176822,0.5007745746919402,Bill Bryant,republican,176275,0.4992254253080598,0.0015491493838803994
53055,Jay Inslee,democratic,7509,0.6911182696732627,Bill Bryant,republican,3356,0.3088817303267372,0.3822365393465255
53057,Jay Inslee,democratic,28261,0.4961813297750935,Bill Bryant,republican,28696,0.5038186702249066,-0.007637340449813068
53059,Jay Inslee,democratic,2476,0.444524236983842,Bill Bryant,republican,3094,0.555475763016158,-0.11095152603231595
53061,Jay Inslee,democratic,182541,0.5225893999730891,Bill Bryant,republican,166760,0.4774106000269109,0.04517879994617818
53063,Jay Inslee,democratic,106009,0.45973935858793935,Bill Bryant,republican,124576,0.5402606414120606,-0.0805212828241213
53065,Jay Inslee,democratic,7148,0.31079612157050307,Bill Bryant,republican,15851,0.6892038784294969,-0.37840775685899386
53067,Jay Inslee,democratic,71830,0.5490582767687886,Bill Bryant,republican,58994,0.4509417232312114,0.0981165535375772
53069,Jay Inslee,democratic,941,0.39974511469838575,Bill Bryant,republican,1413,0.6002548853016143,-0.20050977060322855
53071,Jay Inslee,democratic,10672,0.4184113541911707,Bill Bryant,republican,14834,0.5815886458088293,-0.1631772916176586
53073,Jay Inslee,democratic,62634,0.5663776031540778,Bill Bryant,republican,47953,0.43362239684592224,0.13275520630815557
53075,Jay Inslee,democratic,8723,0.4968388676881016,Bill Bryant,republican,8834,0.5031611323118984,-0.006322264623796814
53077,Jay Inslee,democratic,35158,0.4499475287312191,Bill Bryant,republican,42980,0.5500524712687809,-0.10010494253756175
54001,JIM JUSTICE,democratic,2701,0.4430774278215223,BILL COLE,republican,2928,0.48031496062992124,-0.03723753280839892
54003,JIM JUSTICE,democratic,14879,0.35551467074452836,BILL COLE,republican,23103,0.5520166300296282,-0.19650195928509984
54005,JIM JUSTICE,democratic,5649,0.6422237380627558,BILL COLE,republican,2622,0.2980900409276944,0.34413369713506137
54007,JIM JUSTICE,democratic,2959,0.5869867089863122,BILL COLE,republican,1765,0.35012894267010514,0.23685776631620709
54009,JIM JUSTICE,democratic,4570,0.48344440918227016,BILL COLE,republican,4087,0.43234951867132126,0.0510948905109489
54011,JIM JUSTICE,democratic,18148,0.5445924858960509,BILL COLE,republican,12065,0.36205137438482776,0.18254111151122315
54013,JIM JUSTICE,democratic,1193,0.45621414913957936,BILL COLE,republican,1157,0.4424474187380497,0.013766730401529648
54015,JIM JUSTICE,democratic,1683,0.55599603567889,BILL COLE,republican,1138,0.37594978526593986,0.18004625041295014
54017,JIM JUSTICE,democratic,905,0.3168767507002801,BILL COLE,republican,1739,0.6088935574229691,-0.29201680672268904
54019,JIM JUSTICE,democratic,9631,0.6205941104452607,BILL COLE,republican,4560,0.2938333655519041,0.3267607448933566
