GEOID,winner_name,winner_party,winner_votes,winner_margin,second_name,second_party,second_votes,second_margin,dem_margin
49001,Donald Trump,republican,1838,0.7337325349301397,Hillary Clinton,democratic,264,0.10538922155688622,-0.6283433133732534
49003,Donald Trump,republican,12230,0.6152530435657511,Hillary Clinton,democratic,2282,0.11480028171848275,-0.5004527618472683
49005,Donald Trump,republican,21165,0.43954560558232264,Hillary Clinton,democratic,9023,0.18738577836849976,-0.2521598272138229
49007,Donald Trump,republican,5275,0.6594574321790224,Hillary Clinton,democratic,1717,0.21465183147893488,-0.44480560070008757
49009,Donald Trump,republican,410,0.6699346405228758,Hillary Clinton,democratic,106,0.17320261437908496,-0.4967320261437908
49011,Donald Trump,republican,62217,0.44352958788682395,Hillary Clinton,democratic,28776,0.20513697897730918,-0.23839260890951477
49013,Donald Trump,republican,5508,0.7882083571837436,Hillary Clinton,democratic,500,0.07155123068116771,-0.7166571265025758
49015,Donald Trump,republican,3402,0.793006993006993,Hillary Clinton,democratic,379,0.08834498834498834,-0.7046620046620046
49017,Donald Trump,republican,1606,0.6796445196783749,Hillary Clinton,democratic,358,0.15150232754972492,-0.52814219212865
49019,Donald Trump,republican,1975,0.42925450988915453,Hillary Clinton,democratic,1960,0.42599434905455336,-0.003260160834601178
49021,Donald Trump,republican,11561,0.6483652066625539,Hillary Clinton,democratic,2450,0.13740115529134653,-0.5109640513712074
49023,Donald Trump,republican,2827,0.6697465055674011,Hillary Clinton,democratic,442,0.10471452262497039,-0.5650319829424307
49025,Donald Trump,republican,2265,0.6401921989824759,Hillary Clinton,democratic,741,0.20944036178631995,-0.43075183719615595
49027,Donald Trump,republican,3858,0.7324852857414088,Hillary Clinton,democratic,431,0.08183026390734764,-0.6506550218340612
49029,Donald Trump,republican,3188,0.6104940635771735,Hillary Clinton,democratic,577,0.11049406357717349,-0.5
49031,Donald Trump,republican,626,0.8575342465753425,Hillary Clinton,democratic,47,0.06438356164383562,-0.7931506849315069
49033,Donald Trump,republican,797,0.7128801431127012,Hillary Clinton,democratic,104,0.09302325581395349,-0.6198568872987478
49035,Donald Trump,republican,138043,0.3257705732012092,Hillary Clinton,democratic,175863,0.41502278503715695,0.08925221183594773
49037,Donald Trump,republican,2645,0.47795446331767255,Hillary Clinton,democratic,2042,0.368991687748464,-0.10896277556920853
49039,Donald Trump,republican,6673,0.6512149897530984,Hillary Clinton,democratic,1061,0.10354250024397385,-0.5476724895091246
49041,Donald Trump,republican,6740,0.7751581368602645,Hillary Clinton,democratic,695,0.07993099482461184,-0.6952271420356526
49043,Donald Trump,republican,7333,0.35111323916686615,Hillary Clinton,democratic,10503,0.5028968158965765,0.15178357672971038
49045,Donald Trump,republican,11169,0.5078664969079665,Hillary Clinton,democratic,4573,0.20793925063659513,-0.29992724627137135
49047,Donald Trump,republican,9810,0.7625932835820896,Hillary Clinton,democratic,995,0.0773476368159204,-0.6852456467661692
49049,Donald Trump,republican,102182,0.5017677908507002,Hillary Clinton,democratic,28522,0.14005814067686748,-0.3617096501738327
49051,Donald Trump,republican,6115,0.4985325289417903,Hillary Clinton,democratic,3063,0.24971465840534812,-0.24881787053644217
49053,Donald Trump,republican,42650,0.6830447942858058,Hillary Clinton,democratic,10288,0.1647635367787191,-0.5182812575070866
49055,Donald Trump,republican,1526,0.7614770459081837,Hillary Clinton,democratic,271,0.13522954091816367,-0.62624750499002
49057,Donald Trump,republican,40235,0.46781619886984627,Hillary Clinton,democratic,23131,0.26894635258005256,-0.1988698462897937
10001,Hillary Clinton,democratic,26471,0.4480838242264202,Donald Trump,republican,29041,0.4915871081318979,-0.043503283905477697
10003,Hillary Clinton,democratic,169799,0.6094023658445549,Donald Trump,republican,93475,0.3354783370180022,0.27392402882655265
10005,Hillary Clinton,democratic,39333,0.3706953423934556,Donald Trump,republican,62611,0.5900797315891656,-0.21938438919571002
18001,Donald Trump,republican,9648,0.7394236664622931,Hillary Clinton,democratic,2805,0.2149754751686082,-0.5244481912936849
18003,Donald Trump,republican,83867,0.5742466466274555,Hillary Clinton,democratic,55379,0.3791861524029936,-0.19506049422446192
18005,Donald Trump,republican,20639,0.6371831681639961,Hillary Clinton,democratic,9841,0.3038189620573616,-0.33336420610663453
18007,Donald Trump,republican,2579,0.7058018609742748,Hillary Clinton,democratic,860,0.23535851122058019,-0.4704433497536946
18009,Donald Trump,republican,3350,0.6945884304374871,Hillary Clinton,democratic,1243,0.2577234086668049,-0.4368650217706822
18011,Donald Trump,republican,19654,0.6130189326596176,Hillary Clinton,democratic,10181,0.31755091856149215,-0.29546801409812545
18013,Donald Trump,republican,5016,0.6342141863699583,Hillary Clinton,democratic,2518,0.31837147553420153,-0.31584271083575677
18015,Donald Trump,republican,6273,0.7285714285714285,Hillary Clinton,democratic,1892,0.2197444831591173,-0.5088269454123112
18017,Donald Trump,republican,9701,0.6860678925035361,Hillary Clinton,democratic,3759,0.26584158415841586,-0.4202263083451202
18019,Donald Trump,republican,30034,0.5872208970398467,Hillary Clinton,democratic,18808,0.3677315919133461,-0.2194893051265006
18021,Donald Trump,republican,8528,0.7574384936495249,Hillary Clinton,democratic,2306,0.2048139266364686,-0.5526245670130563
18023,Donald Trump,republican,8531,0.7170715306379759,Hillary Clinton,democratic,2819,0.23695049172060184,-0.48012103891737407
18025,Donald Trump,republican,3015,0.6564337034617896,Hillary Clinton,democratic,1323,0.2880470280862182,-0.36838667537557146
18027,Donald Trump,republican,8545,0.7959202682563339,Hillary Clinton,democratic,1800,0.1676602086438152,-0.6282600596125187
18033,Donald Trump,republican,12054,0.7168173168411037,Hillary Clinton,democratic,3941,0.23436013320647003,-0.4824571836346337
18029,Donald Trump,republican,18113,0.7574224303755123,Hillary Clinton,democratic,4883,0.20419001421761312,-0.5532324161578992
18031,Donald Trump,republican,8490,0.7650027031897639,Hillary Clinton,democratic,2121,0.19111551630924492,-0.573887186880519
18035,Donald Trump,republican,24217,0.5417794581534262,Hillary Clinton,democratic,18100,0.4049307590773843,-0.1368486990760419
18037,Donald Trump,republican,13365,0.6710347943967465,Hillary Clinton,democratic,5389,0.27057287744138175,-0.40046191695536476
18039,Donald Trump,republican,41867,0.6409227990141297,Hillary Clinton,democratic,20740,0.31749919630145584,-0.3234236027126739
18041,Donald Trump,republican,6839,0.7176285414480588,Hillary Clinton,democratic,2252,0.23630640083945437,-0.4813221406086044
18043,Donald Trump,republican,21427,0.5756077904633983,Hillary Clinton,democratic,13939,0.37445265278710543,-0.20115513767629284
18045,Donald Trump,republican,5662,0.7557394554191137,Hillary Clinton,democratic,1476,0.19701014415376403,-0.5587293112653496
18047,Donald Trump,republican,8669,0.7883775918515824,Hillary Clinton,democratic,1969,0.1790651145871226,-0.6093124772644598
18049,Donald Trump,republican,6010,0.7176976355385718,Hillary Clinton,democratic,1960,0.2340577979460234,-0.48363983759254836
18051,Donald Trump,republican,11081,0.7160581583198707,Hillary Clinton,democratic,3721,0.2404523424878837,-0.475605815831987
18053,Donald Trump,republican,17008,0.674492385786802,Hillary Clinton,democratic,7010,0.2779980964467005,-0.39649428934010156
18055,Donald Trump,republican,10277,0.7466037050490374,Hillary Clinton,democratic,2929,0.21278605158009445,-0.5338176534689429
18057,Donald Trump,republican,87299,0.5682418798411768,Hillary Clinton,democratic,57214,0.3724142420100241,-0.1958276378311527
18059,Donald Trump,republican,25050,0.6953118494462487,Hillary Clinton,democratic,8901,0.2470647014738946,-0.4482471479723541
