GEOID,winner_name,winner_party,winner_votes,winner_margin,second_name,second_party,second_votes,second_margin,dem_margin
06001,Kamala D. Harris,democratic,443536,0.7547365017782088,Loretta L. Sanchez,democratic,144134,0.24526349822179114,1
06003,Kamala D. Harris,democratic,342,0.72,Loretta L. Sanchez,democratic,133,0.28,1
06005,Kamala D. Harris,democratic,8690,0.6407609497124318,Loretta L. Sanchez,democratic,4872,0.3592390502875682,1
06007,Kamala D. Harris,democratic,43491,0.5863612463092044,Loretta L. Sanchez,democratic,30680,0.4136387536907956,1
06009,Kamala D. Harris,democratic,11259,0.6411366095324867,Loretta L. Sanchez,democratic,6302,0.35886339046751325,1
06011,Kamala D. Harris,democratic,2639,0.5133242559813266,Loretta L. Sanchez,democratic,2502,0.4866757440186734,1
06013,Kamala D. Harris,democratic,282587,0.6937748884164215,Loretta L. Sanchez,democratic,124731,0.30622511158357846,1
06015,Kamala D. Harris,democratic,4603,0.6103155661628216,Loretta L. Sanchez,democratic,2939,0.3896844338371785,1
06017,Kamala D. Harris,democratic,45671,0.633624217872057,Loretta L. Sanchez,democratic,26408,0.366375782127943,1
06019,Kamala D. Harris,democratic,117956,0.4995933995188561,Loretta L. Sanchez,democratic,118148,0.5004066004811439,1
06021,Kamala D. Harris,democratic,3423,0.47436252771618626,Loretta L. Sanchez,democratic,3793,0.5256374722838137,1
06023,Kamala D. Harris,democratic,32729,0.6678569971023957,Loretta L. Sanchez,democratic,16277,0.3321430028976044,1
06025,Kamala D. Harris,democratic,13974,0.32615240984945737,Loretta L. Sanchez,democratic,28871,0.6738475901505426,1
06027,Kamala D. Harris,democratic,3863,0.6311060284267277,Loretta L. Sanchez,democratic,2258,0.36889397157327236,1
06029,Kamala D. Harris,democratic,98526,0.5021328644599037,Loretta L. Sanchez,democratic,97689,0.4978671355400963,1
06031,Kamala D. Harris,democratic,14655,0.5269118757415597,Loretta L. Sanchez,democratic,13158,0.4730881242584403,1
06033,Kamala D. Harris,democratic,13194,0.6532653364361044,Loretta L. Sanchez,democratic,7003,0.34673466356389565,1
06035,Kamala D. Harris,democratic,4151,0.5626948624101938,Loretta L. Sanchez,democratic,3226,0.43730513758980616,1
06037,Kamala D. Harris,democratic,1895675,0.6087762302776155,Loretta L. Sanchez,democratic,1218236,0.3912237697223845,1
06039,Kamala D. Harris,democratic,16769,0.48845067140485277,Loretta L. Sanchez,democratic,17562,0.5115493285951472,1
06041,Kamala D. Harris,democratic,98196,0.7837059147465621,Loretta L. Sanchez,democratic,27101,0.21629408525343782,1
06043,Kamala D. Harris,democratic,4134,0.6213738163234631,Loretta L. Sanchez,democratic,2519,0.3786261836765369,1
06045,Kamala D. Harris,democratic,22335,0.7001786889871155,Loretta L. Sanchez,democratic,9564,0.2998213110128844,1
06047,Kamala D. Harris,democratic,30172,0.5028080057326645,Loretta L. Sanchez,democratic,29835,0.49719199426733546,1
06049,Kamala D. Harris,democratic,1531,0.5945631067961165,Loretta L. Sanchez,democratic,1044,0.4054368932038835,1
06051,Kamala D. Harris,democratic,2611,0.6213707758210376,Loretta L. Sanchez,democratic,1591,0.3786292241789624,1
06053,Kamala D. Harris,democratic,77659,0.6433038709730863,Loretta L. Sanchez,democratic,43060,0.3566961290269137,1
06055,Kamala D. Harris,democratic,35925,0.6689570415060612,Loretta L. Sanchez,democratic,17778,0.3310429584939389,1
06057,Kamala D. Harris,democratic,29639,0.6897924036492273,Loretta L. Sanchez,democratic,13329,0.31020759635077266,1
06059,Kamala D. Harris,democratic,555459,0.5329462831089132,Loretta L. Sanchez,democratic,486783,0.4670537168910867,1
06061,Kamala D. Harris,democratic,89687,0.6321372437076664,Loretta L. Sanchez,democratic,52192,0.3678627562923336,1
