office,statefips,countyfips,dem_margin
308,08,08001,0.08506947133629705
308,08,08003,0.020608156794927224
308,08,08005,0.1413373458989995
308,08,08007,-0.24035972203297457
308,08,08009,-0.6827682303762193
308,08,08011,-0.3103269330565646
308,08,08013,0.4833399771452869
308,08,08014,0.142318917484744
308,08,08015,-0.044711111111111146
308,08,08017,-0.7196007259528131
308,08,08019,0.026252983293556076
308,08,08021,-0.0355544505221283
308,08,08023,0.29058441558441556
308,08,08025,-0.48461034708578915
308,08,08027,-0.41226353555120676
308,08,08029,-0.45074449076831447
308,08,08031,0.5480183937417884
308,08,08033,-0.5593625498007968
308,08,08035,-0.18088533333333334
308,08,08037,0.20255322523094
308,08,08041,-0.22327631611948534
308,08,08039,-0.5363579474342929
308,08,08043,-0.44713967141491834
308,08,08045,-0.07030600680015109
308,08,08047,0.01901565995525728
308,08,08049,-0.13227759664648353
308,08,08051,0.19538886527836802
308,08,08053,-0.24108658743633277
308,08,08055,-0.06608511763150937
308,08,08057,-0.5319396051103368
308,08,08059,0.06871440603497292
308,08,08061,-0.7450292397660819
308,08,08063,-0.6566720691518098
308,08,08067,0.09431781701444625
308,08,08065,0.10815879962488278
308,08,08069,0.04940785076104315
308,08,08071,-0.156042985426174
308,08,08073,-0.608784893267652
308,08,08075,-0.5586299115408352
308,08,08077,-0.36121770932598457
308,08,08079,-0.1641104294478527
308,08,08081,-0.679080459770115
308,08,08083,-0.30175766060040443
308,08,08085,-0.4208439535542339
308,08,08087,-0.41755852842809366
308,08,08089,-0.23485565546616188
308,08,08091,0.1045317220543806
308,08,08093,-0.26053566285878854
308,08,08095,-0.5810463121783876
308,08,08097,0.4545281763755583
308,08,08099,-0.46750398724082937
308,08,08101,-0.004958929888360497
308,08,08103,-0.682608695652174
308,08,08105,-0.1958800144560896
308,08,08107,0.16945516945516947
308,08,08109,0.09523809523809523
308,08,08111,0.09881422924901184
308,08,08113,0.4486024486024486
308,08,08115,-0.5483870967741935
308,08,08117,0.27556572276493135
308,08,08119,-0.4252284685682637
308,08,08121,-0.7328942553969996
308,08,08123,-0.2224913239311821
308,08,08125,-0.6520559382174911
309,08,08001,0.11414841401976256
309,08,08003,0.11488812392426845
309,08,08005,0.13020264732330988
309,08,08007,-0.18229453943739654
309,08,08009,-0.4172123479887746
309,08,08011,-0.11678832116788324
309,08,08013,0.433640081799591
309,08,08014,0.1189065188300516
309,08,08015,-0.0111002575259746
309,08,08017,-0.5577981651376147
309,08,08019,0.05821276595744679
309,08,08021,0.04807692307692313
309,08,08023,0.35052111903455835
309,08,08025,-0.2845849802371541
309,08,08027,-0.33986928104575165
309,08,08029,-0.3611956327188115
309,08,08031,0.5123727058018351
309,08,08033,-0.39004149377593356
309,08,08035,-0.2034241136578247
309,08,08037,0.1988395986945486
309,08,08041,-0.22096243041939384
309,08,08039,-0.49481555960535417
309,08,08043,-0.3408490480094744
309,08,08045,-0.021258730582802143
309,08,08047,0.0631108628874616
309,08,08049,-0.09094092925519498
309,08,08051,0.24499574105621807
309,08,08053,-0.11945392491467582
309,08,08055,0.06545262602269736
309,08,08057,-0.40749414519906324
309,08,08059,0.07447778424313334
309,08,08061,-0.5071599045346062
309,08,08063,-0.47177086202148166
309,08,08067,0.10526144004177812
309,08,08065,0.16852146263910972
309,08,08069,0.04997266152909746
309,08,08071,0.01933864777088873
309,08,08073,-0.4782428512225445
309,08,08075,-0.38961307676391477
309,08,08077,-0.31643112284516234
309,08,08079,-0.03799392097264437
309,08,08081,-0.5391712275215012
309,08,08083,-0.2523216128264148
309,08,08085,-0.3760125798151149
309,08,08087,-0.303688731682668
309,08,08089,-0.10664479081214112
309,08,08091,0.10214566334239955
309,08,08093,-0.2134528283704346
309,08,08095,-0.3778065630397237
309,08,08097,0.4182634730538922
309,08,08099,-0.29565217391304344
309,08,08101,0.09540086611238902
309,08,08103,-0.6047407407407407
