STATEFP,dem_margin,dem_votes,gop_votes
06,1,4701416,0
12,-0.07655295652383015,4122074,4835185
53,0.1804507242129294,1913186,1328264
15,0.5136114191885002,306604,92653
45,-0.2722671464441765,704540,1241609
05,-0.23602358845354054,400590,661984
02,-0.3280517318403435,36007,138078
46,-0.4365819938910067,104125,265494
16,-0.38410878918707125,188249,449017
50,0.2823564652384093,192243,103637
19,-0.2443466602986562,549460,926007
09,0.28564563413073896,1008526,552621
01,-0.28164932864333564,747051,1334131
42,-0.014325685487941942,2865009,2951706
13,-0.13750559494998849,1599726,2135806
55,-0.033619771963695644,1380335,1479471
37,-0.05696086638345155,2128165,2395376
08,0.05664978387031272,1370710,1215318
04,-0.12878350651461584,1031241,1359258
40,-0.43160270350340846,355911,980892
49,-0.409338840538534,302336,760493
18,-0.5119074875619178,15285,1423865
32,0.024402924451665364,521869,494833
33,0.0013759233704034313,354649,353632
21,-0.14546706709819696,813164,1090077
17,0.1506493808854803,3012940,2184692
20,-0.29922248687103364,379744,732378
38,-0.6150989340177109,58116,268788
39,-0.20871320637033036,1996908,3118567
24,0.2523438205099795,1659907,972099
29,-0.02792299820597466,1300200,1378458
41,0.23253180447196048,1105119,651106
36,0.42335012835224867,5202932,1996280
