STATEFP,winner_name,winner_party,winner_votes,winner_margin,second_name,second_party,second_votes,second_margin,dem_margin
06,Kamala D. Harris,democratic,7542758,0.616028324981334,Loretta L. Sanchez,democratic,4701416,0.383971675018666,1
12,Marco Rubio,republican,4835185,0.5190604367197752,Patrick Murphy,democratic,4122074,0.44250748019594505,-0.07655295652383015
53,Patty Murray,democratic,1913186,0.5902253621064647,Chris Vance,republican,1328264,0.4097746378935353,0.1804507242129294
15,"SCHATZ, Brian",democratic,306604,0.7360344918643563,"CARROLL, John",republican,92653,0.22242307267585618,0.5136114191885002
45,Tim Scott,republican,1241609,0.6294337216063625,Thomas Dixon,democratic,704540,0.357166575162186,-0.2722671464441765
46,John R. Thune,republican,265494,0.7182909969455034,Jay Williams,democratic,104125,0.28170900305449664,-0.4365819938910067
05,John Boozman,republican,661984,0.5977330741288192,Conner Eldridge,democratic,400590,0.3617094856752786,-0.23602358845354054
02,"Murkowski, Lisa",republican,138078,0.4437766557499285,"Miller, Joe",libertarian,90811,0.29186258408513127,-1
16,Mike Crapo,republican,449017,0.661397779614106,Jerry Sturgill,democratic,188249,0.2772889904270347,-0.38410878918707125
50,Patrick Leahy,democratic,192243,0.6126114929782128,Scott Milne,republican,103637,0.33025502773980353,0.2823564652384093
19,Charles E. Grassley,republican,926007,0.6008990056040222,Patty Judge,democratic,549460,0.356552345305366,-0.2443466602986562
09,Richard Blumenthal,democratic,1008526,0.6318883293829584,Dan Carter,republican,552621,0.3462426952522194,0.28564563413073896
01,Richard C. Shelby,republican,1334131,0.6400441174495163,Ron Crumpton,democratic,747051,0.35839478880618064,-0.28164932864333564
42,Pat Toomey,republican,2951706,0.48773558264843336,Katie McGinty,democratic,2865009,0.4734098971604914,-0.014325685487941942
13,JOHNNY ISAKSON,republican,2135806,0.5478385217276436,JIM BARKSDALE,democratic,1599726,0.4103329267776551,-0.13750559494998849
55,Ron Johnson,republican,1479471,0.5017297212607007,Russ Feingold,democratic,1380335,0.46810994929700506,-0.033619771963695644
37,Richard Burr,republican,2395376,0.5106177974489319,Deborah K. Ross,democratic,2128165,0.45365693106548033,-0.05696086638345155
08,Michael Bennet,democratic,1370710,0.4997067110847169,Darryl Glenn,republican,1215318,0.4430569272144042,0.05664978387031272
04,John McCain,republican,1359258,0.5336614001653683,Ann Kirkpatrick,democratic,1031241,0.4048778936507525,-0.12878350651461584
40,James Lankford,republican,980892,0.677389615116084,Mike Workman,democratic,355911,0.24578691161267555,-0.43160270350340846
49,Mike Lee,republican,760493,0.6794599293641073,Misty Snow,democratic,302336,0.2701210888255733,-0.409338840538534
18,Todd Young,republican,1423865,0.5174623768457242,Evan Bayh,democratic,1160844,0.42187503407071447,-0.09558734277500969
32,Catherine Cortez Masto,democratic,521869,0.4710434154707104,Joe Heck,republican,494833,0.446640491019045,0.024402924451665364
33,Maggie Hassan,democratic,354649,0.47981302594907593,Kelly Ayotte,republican,353632,0.4784371025786725,0.0013759233704034313
21,Rand Paul,republican,1090077,0.5726358246135113,Jim Gray,democratic,813164,0.4271687575153143,-0.14546706709819696
20,Jerry Moran,republican,732378,0.6214487726357466,Patrick Wiesner,democratic,379744,0.32222628576471296,-0.29922248687103364
17,Tammy Duckworth,democratic,3012940,0.5480212999549642,Mark Kirk,republican,2184692,0.3973719190694839,0.1506493808854803
38,John Hoeven,republican,268788,0.7847801904228017,Eliot Glassheim,democratic,58116,0.1696812564050908,-0.6150989340177109
39,Rob Portman,republican,3118567,0.5802887667737717,Ted Strickland,democratic,1996908,0.37157556040344136,-0.20871320637033036
24,Chris Van Hollen,democratic,1659907,0.6089886626373328,Kathy Szeliga,republican,972099,0.35664484212735326,0.2523438205099795
29,Roy Blunt,republican,1378458,0.49184339314845027,Jason Kander,democratic,1300200,0.4639203949424756,-0.02792299820597466
41,Ron Wyden,democratic,1105119,0.5660087161077954,Mark Callahan,republican,651106,0.33347691163583487,0.23253180447196048
36,Charles Schumer,democratic,5202932,0.6869039515382467,Wendy Long,republican,1996280,0.263553823185998,0.42335012835224867
